file,line,label,classification,source
SkullbonezSource/Assets/AssetSystem.cpp,40,g_*,asset lookup,AssetSystem* g_activeAssetSystem = nullptr;
SkullbonezSource/Assets/AssetSystem.cpp,352,Gfx(),asset lookup,return Rendering::Gfx().CreateShader( shader ? shader->baseName.c_str()
SkullbonezSource/Assets/AssetSystem.cpp,453,g_*,asset lookup,g_activeAssetSystem = assets;
SkullbonezSource/Assets/AssetSystem.cpp,456,ActiveAssetSystem(),asset lookup,AssetSystem* ActiveAssetSystem()
SkullbonezSource/Assets/AssetSystem.cpp,458,g_*,asset lookup,return g_activeAssetSystem;
SkullbonezSource/Assets/AssetSystem.cpp,461,CreateShaderFromActiveAssets(),asset lookup,std::unique_ptr<Rendering::IShader> CreateShaderFromActiveAssets( const char* logicalNameOrBaseName )
SkullbonezSource/Assets/AssetSystem.cpp,463,g_*,asset lookup,if ( g_activeAssetSystem )
SkullbonezSource/Assets/AssetSystem.cpp,465,g_*,asset lookup,return g_activeAssetSystem->CreateShader( logicalNameOrBaseName );
SkullbonezSource/Assets/AssetSystem.cpp,468,Gfx(),asset lookup,return Rendering::Gfx().CreateShader( fallbackBaseName ? fallbackBaseName : logicalNameOrBaseName );
SkullbonezSource/Assets/AssetSystem.h,184,ActiveAssetSystem(),asset lookup,AssetSystem* ActiveAssetSystem();
SkullbonezSource/Assets/AssetSystem.h,185,CreateShaderFromActiveAssets(),asset lookup,std::unique_ptr<Rendering::IShader> CreateShaderFromActiveAssets( const char* logicalNameOrBaseName );
SkullbonezSource/Assets/TextureCollection.cpp,37,TextureCollection::Instance(),asset lookup,TextureCollection* TextureCollection::Instance()
SkullbonezSource/Assets/TextureCollection.cpp,105,Gfx(),asset lookup,Gfx().DeleteTexture( texture.backendHandle );
SkullbonezSource/Assets/TextureCollection.cpp,143,Gfx(),asset lookup,"Gfx().BindTexture( m_textures[FindIndex( hash )].backendHandle, 0 );"
SkullbonezSource/Assets/TextureCollection.cpp,226,Gfx(),asset lookup,"Gfx().CreateTexture2D( data.get(), width, height, requestedChannels, generateMips, linearFilter );"
SkullbonezSource/Core/Common.h,111,Cfg(),bootstrap,inline SkullbonezCore::Basics::EngineConfig& Cfg()
SkullbonezSource/Core/Common.h,113,EngineConfig::Instance(),bootstrap,return SkullbonezCore::Basics::EngineConfig::Instance();
SkullbonezSource/Core/Common.h,118,Cfg(),bootstrap,"return std::clamp( Cfg().gameModelCapacity, 1, MAX_GAME_MODELS );"
SkullbonezSource/Core/Config.cpp,525,EngineConfig::Instance(),bootstrap,EngineConfig& EngineConfig::Instance()
SkullbonezSource/Core/LockOrderValidator.cpp,45,g_*,diagnostics,std::atomic<uint32_t> g_nextLockId{ 1 };
SkullbonezSource/Core/LockOrderValidator.cpp,46,g_*,diagnostics,std::atomic<uint32_t> g_nextThreadId{ 1 };
SkullbonezSource/Core/LockOrderValidator.cpp,51,g_*,diagnostics,thread_local std::vector<uint32_t> g_heldLocks;
SkullbonezSource/Core/LockOrderValidator.cpp,52,g_*,diagnostics,"thread_local uint32_t g_threadId = g_nextThreadId.fetch_add( 1, std::memory_order_relaxed );"
SkullbonezSource/Core/LockOrderValidator.cpp,52,g_*,diagnostics,"thread_local uint32_t g_threadId = g_nextThreadId.fetch_add( 1, std::memory_order_relaxed );"
SkullbonezSource/Core/LockOrderValidator.cpp,89,g_*,diagnostics,return g_threadId;
SkullbonezSource/Core/LockOrderValidator.cpp,112,LockOrderValidator::Instance(),diagnostics,LockOrderValidator& LockOrderValidator::Instance()
SkullbonezSource/Core/LockOrderValidator.cpp,136,g_*,diagnostics,for ( uint32_t heldLock : g_heldLocks )
SkullbonezSource/Core/LockOrderValidator.cpp,154,g_*,diagnostics,g_heldLocks.push_back( lockId );
