classification,file,label,hit_count,lines,decision,owner,phase2_status,reason,sample_source
asset lookup,SkullbonezSource/Assets/AssetSystem.cpp,ActiveAssetSystem(),1,464,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,AssetSystem* ActiveAssetSystem()
asset lookup,SkullbonezSource/Assets/AssetSystem.cpp,CreateShaderFromActiveAssets(),1,469,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,std::unique_ptr<Rendering::IShader> CreateShaderFromActiveAssets( const char* logicalNameOrBaseName )
asset lookup,SkullbonezSource/Assets/AssetSystem.cpp,Gfx(),2,361;476,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,"return CreateShader( Rendering::Gfx(), logicalNameOrBaseName );"
asset lookup,SkullbonezSource/Assets/AssetSystem.cpp,g_*,5,41;461;466;471;473,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,AssetSystem* g_activeAssetSystem = nullptr;
asset lookup,SkullbonezSource/Assets/AssetSystem.h,ActiveAssetSystem(),1,197,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,AssetSystem* ActiveAssetSystem();
asset lookup,SkullbonezSource/Assets/AssetSystem.h,CreateShaderFromActiveAssets(),1,198,accepted asset/shader compatibility debt,Future asset/shader service context,deferred,ActiveAssetSystem and fallback shader creation are shared bridges; removing them requires explicit asset plus render-resource context across callers.,std::unique_ptr<Rendering::IShader> CreateShaderFromActiveAssets( const char* logicalNameOrBaseName );
asset lookup,SkullbonezSource/Assets/TextureCollection.cpp,TextureCollection::Instance(),1,38,accepted asset texture compatibility debt,Future texture service context,deferred,"TextureCollection already has bound render contexts, but the singleton access remains the active texture-service bridge.",TextureCollection* TextureCollection::Instance()
diagnostics,SkullbonezSource/Core/LockOrderValidator.cpp,LockOrderValidator::Instance(),5,112;201;207;218;225,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.",LockOrderValidator& LockOrderValidator::Instance()
diagnostics,SkullbonezSource/Core/LockOrderValidator.cpp,g_*,12,45;46;51;52;52;89;136;154;166;166;170;199,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.",std::atomic<uint32_t> g_nextLockId{ 1 };
diagnostics,SkullbonezSource/Core/PlatformProfiler.cpp,g_*,12,42;43;44;239;240;242;248;253;258;329;339;348,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.",std::atomic<bool> g_enabled{ false };
diagnostics,SkullbonezSource/Core/Profiler.cpp,Gfx(),9,444;468;480;486;494;500;509;519;574,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.","Gfx().PlatformProfilerGpuBegin( fullPath, hash );"
diagnostics,SkullbonezSource/Core/Profiler.cpp,Profiler::Instance(),2,76;342,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.",Profiler& Profiler::Instance()
diagnostics,SkullbonezSource/Core/Profiler.h,Profiler::Instance(),11,280;284;299;303;341;348;360;367;381;382;383,diagnostics exception,Core diagnostics/profiler owner,accepted compatibility debt,"Rows are in profiler, platform profiler, or lock-order diagnostic infrastructure rather than ordinary runtime feature flow.","Profiler::Instance().Begin( m_fullPath, m_hash );"
normal runtime path,SkullbonezSource/Core/WorkerPool.cpp,WorkerPool::Instance(),2,105;422,accepted service-owner compatibility,Future worker-service lifetime cleanup,accepted compatibility debt,"Rows live inside the worker-pool service owner, not an arbitrary caller; replacing the singleton needs a worker lifetime owner.",WorkerPool& WorkerPool::Instance()
normal runtime path,SkullbonezSource/Core/WorkerPool.cpp,g_*,8,43;44;142;148;382;383;415;416,accepted service-owner compatibility,Future worker-service lifetime cleanup,accepted compatibility debt,"Rows live inside the worker-pool service owner, not an arbitrary caller; replacing the singleton needs a worker lifetime owner.",thread_local bool g_isWorkerThread = false;
normal runtime path,SkullbonezSource/GameObjects/GameModel.cpp,Cfg(),10,85;144;980;1053;1116;1257;1296;1323;1355;1738,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,m_physicsInfo.SetFrictionCoefficient( Cfg().frictionCoeff );
normal runtime path,SkullbonezSource/Physics/BoundingSphere.cpp,Cfg(),1,247,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,return Cfg().sphereDragCoeff;
diagnostics,SkullbonezSource/Physics/Debug/BroadphaseVisualizer.cpp,Gfx(),2,363;384,diagnostics exception,Physics debug diagnostics owner,accepted compatibility debt,"Debug visualizers are diagnostics-only render bridges; moving them requires a dedicated debug-render context, not a Phase 2 lifetime change.",if ( !m_enabled || m_cellCount == 0 || !Gfx().GetCapabilities().supportsDebugLines )
diagnostics,SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,CreateShaderFromActiveAssets(),1,198,diagnostics exception,Physics debug diagnostics owner,accepted compatibility debt,"Debug visualizers are diagnostics-only render bridges; moving them requires a dedicated debug-render context, not a Phase 2 lifetime change.",m_shader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                               );
diagnostics,SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,Gfx(),14,105;109;113;147;178;211;369;370;430;491;494;495;534;536,diagnostics exception,Physics debug diagnostics owner,accepted compatibility debt,"Debug visualizers are diagnostics-only render bridges; moving them requires a dedicated debug-render context, not a Phase 2 lifetime change.",Gfx().DestroyInstancedMesh( m_sphereInstMesh );
diagnostics,SkullbonezSource/Physics/Debug/PhysicsDebugVisualizer.cpp,Gfx(),2,584;617,diagnostics exception,Physics debug diagnostics owner,accepted compatibility debt,"Debug visualizers are diagnostics-only render bridges; moving them requires a dedicated debug-render context, not a Phase 2 lifetime change.",if ( m_flags == PHYSICS_DEBUG_NONE || models.GetModelCount() <= 0 || !Gfx().GetCapabilities().supportsDebugLines )
normal runtime path,SkullbonezSource/Physics/PersistentContactSolver.cpp,Cfg(),26,141;150;159;160;169;171;434;435;455;524;543;662;793;795;801;806;807;815;822;829;859;861;888;997;1064;1193,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,"const float contactSlop = (std::max)( 0.0f, Cfg().persistentContactSlop );"
normal runtime path,SkullbonezSource/Physics/PhysicsWorld.cpp,Cfg(),18,117;800;1007;1007;1651;1652;1655;1683;1683;1785;1947;1969;2407;2407;2524;2524;2580;2580,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,PhysicsWorld::PhysicsWorld() : m_spatialGrid( Cfg().broadphaseCell )
normal runtime path,SkullbonezSource/Physics/PhysicsWorld.cpp,WorkerPool::Instance(),6,1009;1685;2410;2424;2526;2582,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,"SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor( 0,"
normal runtime path,SkullbonezSource/Physics/RigidBody.cpp,Cfg(),3,220;220;223,owned by Phase 3 physics compatibility,Phase 3 physics compatibility / future physics config-worker context,deferred,Solver/body config and worker access can affect determinism and scheduling; keep it under the physics boundary owner.,float limitSq = Cfg().velocityLimit * Cfg().velocityLimit;
render pass,SkullbonezSource/Rendering/GameModelRenderer.cpp,Cfg(),3,114;309;485,owned by future renderer worker/config context,Future render-resource context,deferred,Renderer scheduling still reaches config/worker globals; moving it touches render hot-path threading and should be isolated.,const bool alphaBlendedPass = Cfg().runtimeRender.renderCollisionVolumes || clampedMaterialAlpha < 1.0f;
render pass,SkullbonezSource/Rendering/GameModelRenderer.cpp,WorkerPool::Instance(),2,314;490,owned by future renderer worker/config context,Future render-resource context,deferred,Renderer scheduling still reaches config/worker globals; moving it touches render hot-path threading and should be isolated.,SkullbonezCore::Threading::WorkerPool::Instance().ParallelCollectOrdered<ShadowCasterBatches>(
render pass,SkullbonezSource/Rendering/Helper.cpp,Cfg(),2,279;301,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.",const OrdinaryRenderConfig& ordinary = Cfg().ordinaryRender;
render pass,SkullbonezSource/Rendering/Helper.cpp,CreateShaderFromActiveAssets(),2,484;502,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.",sphereShader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                                 );
render pass,SkullbonezSource/Rendering/Helper.cpp,Gfx(),34,126;127;128;136;138;160;177;178;227;368;447;452;457;462;467;472;537;570;661;664;730;733;766;832;833;877;878;916;945;966;1035;1036;1077;1078,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.",Gfx().SetBlend( true );
render pass,SkullbonezSource/Rendering/IRenderBackend.cpp,Gfx(),2,42;57,accepted backend accessor compatibility,Phase 4 render-backend capability contract,accepted compatibility debt,These rows are the explicit backend accessor declarations/definitions; Phase 4 confirmed the wide facade remains methodless.,IRenderBackend& Gfx()
render pass,SkullbonezSource/Rendering/IRenderBackend.cpp,GfxRayTracing(),1,61,accepted backend accessor compatibility,Phase 4 render-backend capability contract,accepted compatibility debt,These rows are the explicit backend accessor declarations/definitions; Phase 4 confirmed the wide facade remains methodless.,IRenderRayTracing& GfxRayTracing()
render pass,SkullbonezSource/Rendering/IRenderBackend.h,Gfx(),3,78;93;100,accepted backend accessor compatibility,Phase 4 render-backend capability contract,accepted compatibility debt,These rows are the explicit backend accessor declarations/definitions; Phase 4 confirmed the wide facade remains methodless.,IRenderBackend& Gfx();
render pass,SkullbonezSource/Rendering/IRenderBackend.h,GfxRayTracing(),1,79,accepted backend accessor compatibility,Phase 4 render-backend capability contract,accepted compatibility debt,These rows are the explicit backend accessor declarations/definitions; Phase 4 confirmed the wide facade remains methodless.,IRenderRayTracing& GfxRayTracing();
render pass,SkullbonezSource/Rendering/Shadow.h,Gfx(),2,140;147,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.","Gfx().BindTexture( shadow->depthTextureHandle, SHADOW_TEXTURE_SLOT );"
render pass,SkullbonezSource/Rendering/Text.cpp,Cfg(),2,544;544,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.","Text2d::RebuildProjection( Cfg().window.screenX, Cfg().window.screenY );"
