"finding_id","subsystem","severity","title","locations","trigger","impact","confidence"
"MATH-001","Maths","Medium","Arbitrary-axis vector rotation uses the opposite sign convention from quaternion rotation","SkullbonezSource/Maths/RotationMatrix.h:127-137; Maths/Quaternion.cpp:97-104; Runtime/Editor/EditorGizmoTools.cpp:470-477","Rotate a multi-selection about +Z with a positive angle.","Child positions orbit opposite their orientation change, distorting authored assemblies.","High"
"MATH-002","Maths","Medium","Retrograde equatorial orbital elements mirror the epoch position","SkullbonezSource/Maths/OrbitalMechanics.cpp:91-106;252-345","Round-trip r=(0,1,0), v=(1,0,0), mu=1 through ElementsFromState and PropagateToTime at dt=0.","The propagated position starts on the opposite side of the primary.","High"
"MATH-003","Maths","Medium","TryNormalise returns success with a zero vector after magnitude overflow","SkullbonezSource/Maths/Vector3.h:91-104; Runtime/Camera/CameraCollection.cpp:55-58","Normalize a large finite vector such as (FLT_MAX,0,0).","Callers accept a zero direction as a valid unit vector; camera basis fallback is bypassed.","High"
"MATH-004","Maths","Medium","Orbital APIs report success after overflowing finite element intermediates","SkullbonezSource/Maths/OrbitalMechanics.cpp:109-115;315-367","Use very large finite semi-major axes such as 1e13 or FLT_MAX.","Propagation can return Ok without advancing, and sampling can return full counts containing infinity.","High"
"MATH-005","Maths","Low","Matrix inverse rejects valid small-scale matrices as singular","SkullbonezSource/Maths/Matrix4.cpp:356-425","Invert Scale(1e-4,1e-4,1e-4).","Identity is returned instead of the valid reciprocal transform.","High"
"MATH-006","Maths","Low","Half-space test is not invariant to large finite plane scaling","SkullbonezSource/Maths/Frustum.h:50-53; Maths/Frustum.cpp:94-108","Classify an inside point using plane coefficients scaled to FLT_MAX.","Overflow and NaN reject a point that the scale-equivalent plane accepts.","High"
"MATH-007","Maths","Low","Quaternion normalization produces an invalid zero quaternion after magnitude overflow","SkullbonezSource/Maths/Quaternion.cpp:62-83","Normalize a finite quaternion containing FLT_MAX.","Authored/deserialized orientation can violate the unit-quaternion invariant.","High"
"ASSET-002","Assets","Medium","Configurable data root is ignored for registered shaders","SkullbonezSource/Assets/AssetSystem.h:119-126; AssetSystem.cpp:351-415; Rendering/DX12/RenderBackendDX12.Resources.cpp:60-72","Register/create a shader under a non-default or absolute data root.","Shader compilation uses the wrong path and fails.","High"
"ASSET-003","Assets","Medium","Registration APIs return references invalidated by later registrations","SkullbonezSource/Assets/AssetSystem.h:145-161; AssetSystem.cpp:271-279;313-323;370-378;436-442","Retain a returned reference, then grow the owning vector with more registrations.","Dangling-reference use and undefined behavior.","High"
"ASSET-004","Assets","Medium","Replacing a resident texture destroys the good resource before validating replacement","SkullbonezSource/Assets/TextureCollection.cpp:290-335","Replace a resident texture when decoding or backend creation fails.","The last good texture is lost and the hash becomes non-resident.","High"
