id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
RUN-001,high,done,SkullbonezSource/Runtime/Run.h,99,Run members,"Run stores top-level lifetime plus too many behavioral authorities.",Run composition root,"Freeze new feature state in Run.h; move subsystem state behind owners.",validate_full,safe
RUN-002,high,open,SkullbonezSource/Runtime/Run.cpp,188,Run::Run,"Constructor wires almost the whole engine graph and seeds subsystem policy.",Run composition root,"Keep construction here but move policy initialization into subsystem bootstrap APIs.",validate_full,defer
RUN-003,high,open,SkullbonezSource/Runtime/Run.cpp,228,Run::BindEngineContext,"Binds a broad mutable view over Run-owned systems.",Explicit subsystem contexts,"Split EngineContext into narrow process/world/runtime views or remove consumers row by row.",validate_full,defer
RUN-004,medium,open,SkullbonezSource/Runtime/Run.cpp,245,Run::RefreshRuntimeViewModel,"Run builds presentation diagnostics directly from engine context.",RuntimeViewModelBuilder owner,"Move remaining per-feature snapshot filling behind presentation/diagnostics owners.",validate_fast,safe
RUN-005,high,open,SkullbonezSource/Runtime/Run.cpp,340,Run::ReleaseBackendOwnedRenderResources,"Run owns ordered GPU-resource release behavior.",RenderResourceLifecycle,"Move release order into renderer/resource lifecycle owner; Run delegates one call.",validate_dx12_renderer,safe
RUN-006,high,open,SkullbonezSource/Runtime/Run.cpp,452,Run::RegisterBuiltInAssets,"Asset registration lives in Run instead of asset bootstrap.",AssetBootstrap,"Move built-in source asset registration into AssetSystem bootstrap with explicit render rebuild hook.",validate_full,safe
RUN-007,medium,open,SkullbonezSource/Runtime/Run.cpp,897,Run::ResetReplayTimelineForActiveScene,"Scene lifecycle reaches into replay reset policy.",ReplayRuntime scene lifecycle API,"Make scene reset emit a replay lifecycle command consumed by ReplayRuntime.",validate_full,safe
RUN-008,high,open,SkullbonezSource/Runtime/Run.cpp,964,Run::ApplyReplaySolverSampleState,"Replay restore behavior remains a Run-side mutation path.",ReplayRestoreService,"Move solver sample application behind replay/physics restore service with store handles.",validate_physics,defer
RUN-009,high,open,SkullbonezSource/Runtime/Scene/RunScene.cpp,588,Run::LoadScene,"Scene load still performs broad runtime/world/model/render side effects.",SceneRuntimeLoader,"Extract load phases into scene loader/coordinator; Run passes request and receives result.",validate_full,defer
RUN-010,high,open,SkullbonezSource/Runtime/RunInput.cpp,1942,Run::TakeInput,"Input routing directly mutates camera UI replay editor diagnostics and scene commands.",InputController,"Move semantic routing into InputController plus command queue; Run calls input tick.",validate_full,defer
RUN-011,high,open,SkullbonezSource/Runtime/RunInput.cpp,3529,Run::DrainRuntimeCommands,"Run applies queued runtime/tool commands directly.",RuntimeCommandDispatcher,"Move command application into dispatcher with explicit subsystem command handlers.",validate_full,defer
RUN-012,medium,open,SkullbonezSource/Runtime/RunInput.cpp,1724,Run::ApplyCameraMode,"Camera/tool mode transitions remain Run behavior.",RuntimeInteractionController,"Make interaction controller own transition cleanup and camera mode commands.",validate_fast,defer
RUN-013,medium,open,SkullbonezSource/Runtime/RunInput.cpp,1591,Run::TickAttachedCamera,"Attached camera behavior lives in Run input file.",AttachedCameraController,"Move attach target resolve/orbit/follow into controller consuming body/render snapshots.",validate_fast,defer
RUN-014,high,open,SkullbonezSource/Runtime/RunFrame.cpp,824,Run::AfterPhysicsStep,"Post-step hooks mix physics audio replay diagnostics and presentation side effects.",SimulationPostStepPipeline,"Create ordered post-step pipeline with owner-specific hooks.",validate_physics,defer
RUN-015,high,open,SkullbonezSource/Runtime/RunFrame.cpp,3107,Run::UpdateLogic,"Frame simulation policy is still Run-side orchestration plus behavior.",SimulationController,"Move timestep decisions and fixed-step loop ownership into SimulationController.",validate_full,defer
RUN-016,medium,open,SkullbonezSource/Runtime/RunCapture.cpp,42,Run::SaveScreenshot,"Screenshot command remains Run behavior.",CaptureController,"Route screenshot save through CaptureController with render capture capability.",validate_dx12_renderer,safe
RUN-017,high,open,SkullbonezSource/Runtime/RunRender.cpp,1491,Run::BuildRuntimeRenderModelFrameView,"Run packages render-facing model frame view.",RuntimeRenderer,"Move frame snapshot build into RuntimeRenderer or render snapshot builder.",validate_dx12_renderer,safe
RUN-018,high,open,SkullbonezSource/Runtime/RunRender.cpp,1516,Run::Render,"Run still owns render entry policy before RuntimeRenderer.",RuntimeRenderer,"Leave Run with one render delegate after frame snapshot creation.",validate_dx12_renderer,safe
RUN-019,high,open,SkullbonezSource/Runtime/RunRender.cpp,1617,Run::RebuildRegisteredRenderResources,"Run rebuilds render resources from assets.",RenderResourceLifecycle,"Move rebuild to render resource lifecycle owner consuming AssetSystem.",validate_dx12_renderer,safe
RUN-020,medium,open,SkullbonezSource/Runtime/Replay/RunReplayScrubberTools.inl,163,Run::RestoreReplayScrubberSelectionAsLive,"Replay branch restore lives in Run inline tooling.",ReplayInteractionController,"Move live restore command into replay controller with physics restore API.",validate_physics,defer
RUN-021,medium,open,SkullbonezSource/Runtime/Replay/RunReplayScrubberTools.inl,253,Run::TickReplayScrubberInput,"Replay scrubber input remains Run behavior.",ReplayInteractionController,"Make replay controller consume input snapshot and emit render/UI state.",validate_fast,safe
RUN-022,medium,open,SkullbonezSource/Runtime/Replay/RunReplayCauseTreeTools.inl,24,Run::TickReplayCauseTreeInput,"Replay cause tree input remains Run behavior.",ReplayInteractionController,"Move cause-tree input state and commands into ReplayRuntime/controller.",validate_fast,safe
RUN-023,medium,open,SkullbonezSource/Runtime/Replay/RunReplayVelocityEdit.inl,270,Run::TickReplayVelocityEditInput,"Replay velocity edit input mutates through Run.",ReplayInteractionController,"Move velocity edit interaction to replay controller using body handles.",validate_physics,defer
RUN-024,medium,open,SkullbonezSource/Runtime/Replay/RunReplayTools.cpp,488,Run::RenderReplayPathVisualizer,"Replay visualization remains Run render-tool behavior.",ReplayOverlayRenderer,"Move path visualizer into replay overlay renderer with frame snapshot inputs.",validate_dx12_renderer,safe
RUN-025,medium,open,SkullbonezSource/Runtime/RunStress.cpp,200,Run::RunUIStressActions,"Stress actions mutate UI/runtime from Run.",StressHarness,"Move stress action policies into deterministic harness services.",validate_full,safe
