id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
PHYS-001,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,167,m_gameModels,"Scene model vector remains the stable scene-order owner.",Scene/entity store,"Demote to compatibility presentation storage; introduce explicit scene/entity identity owner before deleting.",validate_full,defer
PHYS-002,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,171,m_sceneObjectGroups,"Cold scene grouping is a model-slot sidecar.",Scene entity metadata,"Move group metadata to scene/entity identity store and expose query snapshots.",validate_full,safe
PHYS-003,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,174,m_authoredBodyDescs,"Body authoring descriptors are collection sidecars.",PhysicsScene authoring edge,"Move descriptor ownership to scene/physics creation edge with explicit refresh API.",validate_physics,safe
PHYS-004,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,175,m_physicsEngine,"Collection owns physics engine and forwards broad runtime authority.",PhysicsScene/RuntimeWorld,"Move physics engine ownership out of collection or hide it behind narrow commands.",validate_physics,defer
PHYS-005,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,184,m_renderPresentationRecords,"Render presentation is keyed by model slot.",RenderInstance presentation store,"Split cold display/material facts from physics body order and feed render store directly.",validate_dx12_renderer,safe
PHYS-006,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,192,BuildReplayBodyIdsForReload,"Replay id reload remains collection-local scratch.",PhysicsBodyStore/SceneRuntime,"Move missing-row id recovery to scene/body-store repair owner.",validate_physics,defer
PHYS-007,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,199,RefreshRenderInstances,"Collection owns render projection refresh.",RenderProjectionOwner,"Move projection to renderer/physics snapshot builder with narrow presentation input.",validate_dx12_renderer,safe
PHYS-008,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,266,GetModelCount,"Model count is a global compatibility query.",Scene/entity registry,"Replace call sites with store/snapshot counts from their owner.",validate_full,safe
PHYS-009,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,321,GetPhysicsEngine,"Broad engine accessor lets runtime bypass narrow physics commands.",Physics command API,"Delete broad accessor after callers use store/handle commands.",validate_physics,defer
PHYS-010,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,323,GetPhysicsBodyStore/GetColliderStore,"Runtime features borrow physics stores through collection.",PhysicsScene snapshot API,"Route store snapshots through physics/scene owner, not model collection.",validate_physics,safe
PHYS-011,high,open,SkullbonezSource/GameObjects/GameModelCollection.h,328,RepairPhysicsBodyTopology,"Topology repair is public collection authority.",PhysicsScene topology owner,"Make repair a cold scene/physics creation command; reject runtime casual calls.",validate_physics,safe
PHYS-012,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,154,ReserveForActiveGameModelCapacity,"Collection capacity drives runtime model-order allocation.",Scene/entity capacity policy,"Move capacity policy to scene/world storage setup and keep collection as view.",validate_perf,defer
PHYS-013,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,226,BuildReplayBodyIdsForReload,"Cold topology repair scans body store then assigns ids locally.",PhysicsBodyStore repair,"Move id recovery into body-store repair with explicit cap and diagnostics.",validate_physics,defer
PHYS-014,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,268,BuildBodyCreateDescsForReload,"Collection rebuilds physics descriptors from sidecars.",PhysicsScene descriptor store,"Move descriptor rebuild to scene/physics authoring owner.",validate_physics,safe
