id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
SVC-001,high,open,SkullbonezSource/Rendering/IRenderBackend.cpp,38,s_gfxBackend,"Process-global active renderer is normal dependency path.",RenderContext startup owner,"Keep only startup/shutdown ownership; migrate deep callers to explicit render services.",validate_dx12_renderer,safe
SVC-002,high,open,SkullbonezSource/Rendering/IRenderBackend.cpp,42,Gfx,"Renderer service locator is broadly callable.",RenderContext,"Ratchet new calls; migrate existing call sites by capability.",validate_dx12_renderer,safe
SVC-003,high,open,SkullbonezSource/Rendering/IRenderBackend.cpp,61,GfxRayTracing,"DXR capability is a global borrowed pointer.",RenderRayTracing capability,"Pass raytracing capability through render frame/services.",validate_dx12_renderer,safe
SVC-004,high,open,SkullbonezSource/Rendering/IRenderBackend.cpp,84,SetGfxBackend,"Startup owns renderer through global setter.",Engine startup,"Keep temporarily but isolate to Init/teardown and remove from runtime headers later.",validate_full,safe
SVC-005,high,open,SkullbonezSource/Core/Common.h,111,Cfg,"Mutable config is available anywhere.",ConfigSnapshot,"Replace deep reads with explicit immutable snapshots or owner settings.",validate_full,defer
SVC-006,high,open,SkullbonezSource/Core/Config.cpp,533,EngineConfig::Instance,"Config singleton backs normal runtime policy.",EngineConfig owner,"Keep startup singleton only until all deep Cfg callers are gone.",validate_full,safe
SVC-007,medium,open,SkullbonezSource/Core/WorkerPool.cpp,58,WorkerPool::Instance,"Worker pool singleton is used by startup and task helpers.",EngineServices,"Pass WorkerPool through runtime/physics/render contexts.",validate_full,defer
SVC-008,medium,done,SkullbonezSource/Runtime/Window.cpp,56,Window::Instance,"Window singleton owns native handles.",PlatformWindow service,"Keep startup access only; runtime code receives WindowService.",validate_full,safe
SVC-009,high,done,SkullbonezSource/Runtime/Init.cpp,1691,Cfg runtime CLI overrides,"CLI writes global config directly.",LaunchConfig builder,"Parse into launch config, then apply once to EngineConfig before subsystem snapshots.",validate_full,safe
SVC-010,high,done,SkullbonezSource/Runtime/Init.cpp,2927,SetGfxBackend,"Init installs global renderer.",Engine startup RenderContext,"Construct RenderContext and pass capabilities to Run without global deep access.",validate_full,safe
SVC-011,medium,done,SkullbonezSource/Runtime/Init.cpp,3280,WorkerPool::Instance,"Run startup pulls worker singleton.",EngineServices,"Construct or resolve WorkerPool in EngineServices and pass explicitly.",validate_full,safe
SVC-012,medium,done,SkullbonezSource/Runtime/Init.cpp,3290,Window::Instance,"Run startup pulls window singleton.",PlatformWindow service,"Construct or resolve window in startup context and pass explicitly.",validate_full,safe
SVC-013,high,done,SkullbonezSource/Runtime/Run.cpp,329,Gfx().FlushGPU,"Run uses global renderer for resource lifecycle.",RenderResourceLifecycle,"Use render backend capability already passed into Run/render host.",validate_dx12_renderer,safe
SVC-014,high,done,SkullbonezSource/Runtime/Run.cpp,381,Gfx resource factory cast,"Run reaches global renderer to release resources.",RenderResourceLifecycle,"Pass IRenderResourceFactory into release API.",validate_dx12_renderer,safe
