"finding_id","subsystem","severity","title","locations","trigger","impact","confidence","fixed"
"CORE-001","Core","High","Worker profiler races frame finalization and can corrupt marker state","SkullbonezSource/Core/Profiler.cpp:386-405;834-970;1099-1157;1258; Runtime/Prediction/ReplayPrediction.cpp:509-514","An asynchronous profiled prediction slice finishes during FrameEnd or across FrameBegin.","C++ data-race undefined behavior, corrupted profiler data, invalid timings, or crash.","High","Yes"
"CORE-002","Core","High","Reserve-owner registry overflow poisons its count and causes out-of-bounds access","SkullbonezSource/Core/Allocation/RuntimeReserveAllocator.cpp:386-405;958-1003","Register beyond the 160-owner fixed capacity, then register again, reset counters, or print summary.","Out-of-bounds reads/writes, memory corruption, or crash on the capacity-failure path.","High","Yes"
"CORE-003","Core","High","Replay growth approval is not bound to its grant or granted bytes","SkullbonezSource/Core/Allocation/RuntimeReserveAllocator.cpp:349-360;453-650; Core/Allocation/RuntimeAllocationTracker.cpp:315-371","Use one owner's grant for another owner or perform extra/larger allocations inside one approved scope.","The allocation gate can pass while replay exceeds hard live-byte caps and grows without policy accounting.","High","Yes"
"CORE-004","Core","Medium","Counter resets let old allocation headers erase new-session live-byte accounting","SkullbonezSource/Core/Allocation/RuntimeAllocationTracker.cpp:78-93;374-398;654-660;743-769; Core/Allocation/RuntimeReserveAllocator.cpp:216-229;944-973","Keep an allocation live across a guard-mode/counter reset, allocate again, then free the old block.","Active bytes and cap enforcement are underreported for the new accounting session.","High","Yes"
"CORE-005","Core","Medium","Config loader treats all open/read failures as an absent optional file","SkullbonezSource/Core/Config.cpp:783-961","Deny access to engine.cfg or cause a mid-stream read failure.","Startup silently uses defaults or partially applied configuration instead of reporting failure.","High","Yes"
"CORE-006","Core","Low","Overlong config lines are silently applied as truncated values","SkullbonezSource/Core/Config.cpp:798-860;899-959","Load a configuration row longer than the 511-byte fgets payload.","Asset paths or other settings are truncated and later fail with misleading symptoms.","High","Yes"
"CORE-007","Core","Low","Clipboard helper reports success and leaks memory when publication fails","SkullbonezSource/Core/PlatformWin32.h:155-190","EmptyClipboard or SetClipboardData fails after the clipboard is opened.","Caller sees success, requested text is absent, and the HGLOBAL can leak.","High","Yes"
"CORE-008","Core","Low","Deterministic string hash depends on char signedness for non-ASCII bytes","SkullbonezSource/Core/StringHash.h:32-35","Hash UTF-8 bytes >=0x80 on targets with different default char signedness.","Cross-platform hashes and deterministic registry/fingerprint identities diverge.","High","Yes"
"MATH-001","Maths","Medium","Arbitrary-axis vector rotation uses the opposite sign convention from quaternion rotation","SkullbonezSource/Maths/RotationMatrix.h:127-137; Maths/Quaternion.cpp:97-104; Runtime/Editor/EditorGizmoTools.cpp:470-477","Rotate a multi-selection about +Z with a positive angle.","Child positions orbit opposite their orientation change, distorting authored assemblies.","High","Yes"
"MATH-002","Maths","Medium","Retrograde equatorial orbital elements mirror the epoch position","SkullbonezSource/Maths/OrbitalMechanics.cpp:91-106;252-345","Round-trip r=(0,1,0), v=(1,0,0), mu=1 through ElementsFromState and PropagateToTime at dt=0.","The propagated position starts on the opposite side of the primary.","High","Yes"
"MATH-003","Maths","Medium","TryNormalise returns success with a zero vector after magnitude overflow","SkullbonezSource/Maths/Vector3.h:91-104; Runtime/Camera/CameraCollection.cpp:55-58","Normalize a large finite vector such as (FLT_MAX,0,0).","Callers accept a zero direction as a valid unit vector; camera basis fallback is bypassed.","High","Yes"
"MATH-004","Maths","Medium","Orbital APIs report success after overflowing finite element intermediates","SkullbonezSource/Maths/OrbitalMechanics.cpp:109-115;315-367","Use very large finite semi-major axes such as 1e13 or FLT_MAX.","Propagation can return Ok without advancing, and sampling can return full counts containing infinity.","High","Yes"
"MATH-005","Maths","Low","Matrix inverse rejects valid small-scale matrices as singular","SkullbonezSource/Maths/Matrix4.cpp:356-425","Invert Scale(1e-4,1e-4,1e-4).","Identity is returned instead of the valid reciprocal transform.","High","Yes"
"MATH-006","Maths","Low","Half-space test is not invariant to large finite plane scaling","SkullbonezSource/Maths/Frustum.h:50-53; Maths/Frustum.cpp:94-108","Classify an inside point using plane coefficients scaled to FLT_MAX.","Overflow and NaN reject a point that the scale-equivalent plane accepts.","High","Yes"
"MATH-007","Maths","Low","Quaternion normalization produces an invalid zero quaternion after magnitude overflow","SkullbonezSource/Maths/Quaternion.cpp:62-83","Normalize a finite quaternion containing FLT_MAX.","Authored/deserialized orientation can violate the unit-quaternion invariant.","High","Yes"
"ASSET-001","Assets","High","Two-channel textures cause an out-of-bounds CPU read during DX12 upload","SkullbonezSource/Assets/TextureCollection.cpp:240;254-265; Rendering/DX12/RenderBackendDX12.Textures.cpp:553-562;656-660","Register a source texture with channelsHint=2 and upload it.","Heap over-read can crash or upload corrupted adjacent bytes.","High","Yes"
"ASSET-002","Assets","Medium","Configurable data root is ignored for registered shaders","SkullbonezSource/Assets/AssetSystem.h:119-126; AssetSystem.cpp:351-415; Rendering/DX12/RenderBackendDX12.Resources.cpp:60-72","Register/create a shader under a non-default or absolute data root.","Shader compilation uses the wrong path and fails.","High","No"
"ASSET-003","Assets","Medium","Registration APIs return references invalidated by later registrations","SkullbonezSource/Assets/AssetSystem.h:145-161; AssetSystem.cpp:271-279;313-323;370-378;436-442","Retain a returned reference, then grow the owning vector with more registrations.","Dangling-reference use and undefined behavior.","High","Yes"
"ASSET-004","Assets","Medium","Replacing a resident texture destroys the good resource before validating replacement","SkullbonezSource/Assets/TextureCollection.cpp:290-335","Replace a resident texture when decoding or backend creation fails.","The last good texture is lost and the hash becomes non-resident.","High","No"
"ASSET-005","Assets","Low","Windows drive-relative paths are misclassified as absolute","SkullbonezSource/Assets/AssetSystem.cpp:105-108;226-240","Resolve a path such as C:foo.jpg.","Resolution depends on ambient per-drive working directory instead of dataRoot.","High","Yes"
"PHYS-001","Physics","High","Fixed-step broadphase ignores body-local collider offsets","SkullbonezSource/Physics/PhysicsApi.h:241-242; Stages/PhysicsBroadphaseStage.cpp:61-69;481-493; PhysicsEngine.cpp:195-201","Use a rotated non-zero-offset collider whose body origin lies outside the target grid cell.","Actual collider pairs can be omitted before narrowphase, causing tunnelling.","High","Yes"
"PHYS-002","Physics","High","Sphere and box terrain paths simulate offset colliders at the body origin","SkullbonezSource/Physics/TerrainContactManifold.cpp:64-76;154-184;334-356; PhysicsBodyStore.cpp:147-168;241-294","Move a sphere/box with a non-zero local offset near terrain.","Bodies can fall through, float, or receive phantom terrain support.","High","Yes"
"PHYS-003","Physics","High","Object CCD uses unrotated local centers and sphere-sphere CCD omits offsets","SkullbonezSource/Physics/BoundingSphere.cpp:72-100; BoundingBox.cpp:150-223; ConvexHullShape.cpp:1086-1101; ObjectContactManifold.cpp:1893-1915","Sweep rotated bodies with non-zero collider-local positions.","CCD computes wrong or missing time of impact; fast displaced shapes tunnel.","High","Yes"
"PHYS-004","Physics","Medium","Release/Profile sphere model matrices discard non-zero local offsets","SkullbonezSource/Physics/BoundingSphere.h:68-78; BoundingSphere.cpp:154-199; Rendering/RenderInstanceStore.cpp:59-71","Render an offset sphere in Debug and Profile/Release.","Optimized rendering disagrees with Debug and with collision/query centers.","High","Yes"
"PHYS-005","Physics","Medium","Box model matrices treat local offsets as world-space offsets","SkullbonezSource/Physics/BoundingBox.cpp:67-79; ObjectContactManifold.cpp:190-200","Render a rotated box with non-zero local position.","Rendered box separates from its physical collider.","High","Yes"
"PHYS-006","Physics","Medium","BoundingSphere default constructor leaves promised local origin uninitialized","SkullbonezSource/Physics/BoundingSphere.h:57-68; BoundingSphere.cpp:32-38; Maths/Vector3.h:56-65","Default-construct BoundingSphere or a descriptor containing its default shape.","NaN/indeterminate offsets propagate from otherwise valid default descriptors.","High","Yes"
"PHYS-007","Physics","Medium","Rebinding a warmed point joint preserves impulse from the old body pair","SkullbonezSource/Physics/PhysicsWorld.cpp:1355-1401; Ragdoll.cpp:482-514","Warm a point joint, update only its bodies, then step.","Old impulse kicks the new body pair spuriously.","High","No"
"PHYS-008","Physics","Medium","Solver snapshot preflight accepts payloads restore cannot safely commit","SkullbonezSource/Physics/PhysicsWorld.cpp:553-631; Stages/PhysicsSleepController.State.cpp:80-105; Stages/PhysicsContactSolverStage.cpp:283-323","Supply malformed vector sizes or over-capacity replay solver data.","Restore can abort or silently install incoherent state after preflight said safe.","High","Yes"
"PHYS-009","Physics","Medium","Shared swept-overlay capacity can abort on valid high-speed scenes","SkullbonezSource/Physics/SpatialGrid.cpp:786-851;918-1051; Stages/PhysicsBroadphaseStage.cpp:114-132","Exceed 4096 aggregate overlay cells with fast/large bodies in one fixed step.","Steady gameplay can fatal and long trajectories can leave an uncovered suffix.","Medium-High","Yes"
"PHYS-010","Physics","Medium","Spatial-grid XOR key aliases distinct cells","SkullbonezSource/Physics/SpatialGrid.cpp:131-134; Runtime/Debug/BroadphaseVisualizer.cpp:73-77","Use cells (-5,-1,5) and (-5,1,-5), which both produce key 264535005.","Distinct cells can collide in key-based broadphase/debug tracking and corrupt occupancy identity.","High","Yes"
"WORLD-001","World","Medium","Passive camera water clamp uses startup config after live height changes","SkullbonezSource/World/Terrain.cpp:796-813; WorldEnvironment.cpp:513-524; Runtime/Input/InputController.cpp:315-324","Change live water height, then use a passive non-authored camera.","Camera can be engulfed by raised water or remain clamped above lowered water.","High","No"
"WORLD-002","World","Medium","Terrain factory returns success when GPU mesh or shader creation failed","SkullbonezSource/World/Terrain.cpp:245-266;360-369;1323-1335","Fail terrain shader compilation or DX12 mesh creation during scene load.","Scene reports success with invisible terrain and silent retries.","High","No"
"WORLD-003","World","Medium","SkyBox reset reports success after mesh or shader creation failure","SkullbonezSource/World/SkyBox.cpp:139-257;277-300; Runtime/Render/RenderResourceLifecycle.cpp:118-121","Fail sky shader or one face-mesh creation.","Resource initialization falsely succeeds, then rendering repeatedly lacks sky resources.","High","No"
"WORLD-004","World","Low","Height-map texture never reaches requested wrap count","SkullbonezSource/World/Terrain.h:222; Terrain.cpp:1353-1359","Build terrain UVs for any valid posts-per-side and textureWrap.","Final UV falls short of textureWrap; authored scale is consistently inaccurate.","High","Yes"
"WORLD-005","World","Low","RAW height-map loader silently accepts oversized files","SkullbonezSource/World/Terrain.cpp:630-642","Load a RAW file containing more than mapSize squared bytes.","Only the prefix is used, silently cropping or misinterpreting the asset.","High","Yes"
"GAME-001","Gameplay","Medium","Inactive legacy field update wipes active authored-system timers","SkullbonezSource/Gameplay/TornadoGameplay.cpp:128-160;419-427; Physics/Stages/ExternalForceStage.cpp:234-267","Update a disabled legacy field while an authored TornadoSystem remains active.","All body exposure/cooldown timers reset, changing ejection timing.","High","No"
"GAME-002","Gameplay","Medium","Runtime body-count changes erase tornado state for all surviving bodies","SkullbonezSource/Gameplay/TornadoGameplay.cpp:406-427; Runtime/Scene/SceneWorld.cpp:551-649","Append or delete a body while other bodies have tornado exposure/cooldown.","Every surviving body's history is reset; deletion also lacks swap-last remapping.","High","No"
"GAME-003","Gameplay","Low","Single-precision tornado clock stops advancing at 262144 seconds","SkullbonezSource/Gameplay/TornadoField.h:151; TornadoField.cpp:218-292","Reach or restore elapsed time 262144 seconds and tick at 1/120 second.","Spawn, TTL, strength, and drift lifecycle freeze permanently.","High","Yes"
"SCENE-001","Scene Data","High","Malformed fixed-cardinality JSON can throw or index out of bounds","SkullbonezSource/Scene/AuthoredSceneParserSchema.h:804-837; AuthoredSceneParserPresentation.cpp:204-217;288-299;557-653","Parse undersized arrays or same-cardinality non-array objects in vector/UI/style fields.","Malformed authored data escapes recoverable SbResult handling via exception or undefined access.","High","Yes"
"SCENE-002","Scene Data","High","Editable scene saving destroys the prior file before replacement is durable","SkullbonezSource/Scene/SceneSnapshotWriter.cpp:612-628; Runtime/Tools/RuntimeFileWriter.cpp:81-89","Fail a write, flush, or close while saving the active scene.","Prior valid scene is truncated and partial replacement may be reported successful.","High","Yes"
"SCENE-003","Scene Data","Medium","Direct and saved-state objects accept invalid physical dimensions and mass","SkullbonezSource/Scene/AuthoredSceneParserBodies.cpp:64-69;133-139;268-428; Runtime/Scene/SceneAuthoredSetup.cpp:591-729","Author non-positive/non-finite radius, extents, mass, inertia, or restitution in direct/state objects.","Invalid shapes and nominally dynamic fixed bodies enter physics/rendering.","High","No"
"SCENE-004","Scene Data","Medium","Style-only documents pass through full scene mutation pipeline","SkullbonezSource/Scene/AuthoredSceneParser.cpp:337-639","Put objects, simulation, runtime, or capture members in an imported .style.json.","A presentation style can inject bodies and mutate simulation/runtime policy.","High","No"
"SCENE-005","Scene Data","Medium","Signed integer and numeric-boolean readers narrow 64-bit JSON without bounds checks","SkullbonezSource/Scene/AuthoredSceneParserSchema.h:620-700","Provide integers outside the target int range.","Values wrap and may validate as different counts or booleans while parse reports success.","High","No"
"SCENE-006","Scene Data","Medium","Several authored path/text fields silently truncate","SkullbonezSource/Scene/AuthoredSceneParserSchema.h:719-722; AuthoredSceneParserRuntime.cpp:537-598; AuthoredSceneParserPresentation.cpp:244-248","Supply capture/log/filter text longer than its fixed buffer.","Loaded value differs from authored data and can target an unintended path.","High","No"
"SCENE-007","Scene Data","Low","Snapshot round-trip loses dormant emissive color","SkullbonezSource/Scene/SceneSnapshotWriter.cpp:115-167","Save a non-emissive material with non-default emissiveColor and zero strength.","Reload resets the dormant color, changing later emissive edits.","High","Yes"
"RENDER-001","Rendering","High","Convex-hull draw dereferences failed shader creation","SkullbonezSource/Rendering/PrimitiveBatchRenderer.cpp:726-736;1155-1175","Render a convex hull while lit instanced shader creation fails.","Null dereference/access violation instead of skipped draw.","High","Yes"
"RENDER-002","Rendering","High","RenderShadowCasters fallback always fatals for a non-empty scene","SkullbonezSource/Rendering/RenderInstanceRenderer.cpp:578-604;733-740; Shadow.h:58-82","Invoke the direct fallback with any non-empty render store.","Zero-capacity batch vectors trigger deterministic SB_FATAL.","High","Yes"
"RENDER-003","Rendering","High","Missing quad resources turn capacity flushing into an out-of-bounds write","SkullbonezSource/Rendering/Text.cpp:879-885;934-969","Fill the quad batch while shader or vertex buffer is missing.","Flush returns without clearing count, then the next write corrupts CPU memory.","High","Yes"
"RENDER-004","Rendering","Medium","Render graph omits required UAV ordering barriers","SkullbonezSource/Rendering/RenderGraph.cpp:578-718; RenderGraph.h:403-410","A later pass accesses a prior UAV-written resource while state remains UnorderedAccess.","Later GPU work may observe incomplete or stale writes.","High","No"
