kill_id,rank,verdict,artifact,file,line,why_it_is_fake,current_proof,exact_replacement,first_deletion_move,done_when,validation
K001,1,kill,GameModelRuntimePhysicsTuning,SkullbonezSource/GameObjects/GameModel.h,99,"A config-copy bag named for when values are transported, not for the physics concept it models.","Stores EngineConfig friction, sphere drag, angular velocity limit, contact epsilon, terrain contact threshold, and restitution threshold on GameModel and GameModelCollection.","PhysicsMaterial for friction/drag/restitution, BodySimulationLimits for angular velocity caps, ContactPolicy or solver settings for contact thresholds.","Split the struct by field group and move reads behind physics-owned descriptors/settings; delete ApplyRuntimePhysicsTuning last.","No GameModelRuntimePhysicsTuning symbol remains and GameModel contact/body code consumes domain settings instead of a runtime config bag.","tools\validate_physics.bat; add tools\validate_perf.bat if hot-loop storage changes"
K002,2,kill,GameModelCollection::MutablePhysicsModelsForCompatibility / PhysicsModelsForCompatibility,SkullbonezSource/GameObjects/GameModelCollection.cpp,480,"The raw model vector still leaks out under an honest but permanent-looking compatibility name.","Runtime, RunFrame, editor mouse pickup, replay recorder/runtime, and replay prediction helpers still borrow std::vector<GameModel>& through this API.","Owner-specific APIs: physics commands by PhysicsBodyHandle, replay snapshots by replay body id, editor selection/manipulation commands, render queries by render instance.","Pick one caller bucket first, likely replay prediction or mouse pickup, and replace direct vector mutation with a command/query surface.","The two accessors and PHYSICS_MODELS_COMPAT_ACCESS_ALLOWLIST are gone.","tools\validate_physics.bat or tools\validate_full.bat by caller bucket; add tools\validate_perf.bat for hot paths"
K003,3,kill,PhysicsModelAccess raw GameModel ranges,SkullbonezSource/Physics/PhysicsModelAccess.h,148,"The interface says physics has a boundary, then hands physics mutable GameModel pointer/count access anyway.","PhysicsModelAccess exposes MutableModelData, ModelData, Models(), operator[], and manual InvalidatePhysicsStreams after mutation.","Separate interfaces: BodyStreamReader, PhysicsBodyCommandSink, PhysicsDiagnosticsView, PhysicsBodyEventSink.","Remove operator[] and Models() from one solver/helper path; force that code to use body records or explicit commands.","PhysicsModelAccess no longer exposes raw GameModel ranges to solver code.","tools\validate_physics.bat; add tools\validate_perf.bat for hot-loop changes"
K004,4,kill,PhysicsBodyStore::ApplyCompatibilityForces,SkullbonezSource/Physics/PhysicsBodyStore.cpp,511,"A physics body store that must call back into GameModel::ApplyForces is not actually the body authority.","Body store applies compatibility forces through GameModel and then recaptures mutable body state.","Force integration on PhysicsBodyRecord using WorldEnvironment/FluidForceSettings inputs; GameModel becomes presentation/authoring surface only.","Move fluid/gravity force calculation for one body type into PhysicsBodyStore or a PhysicsForceIntegrator without touching solver math.","No PhysicsBodyStore hot path calls GameModel::ApplyForces or recaptures state after force application.","tools\validate_physics.bat; add tools\validate_perf.bat for hot path changes"
K005,5,kill,compatibility handles derived from model index,SkullbonezSource/Physics/PhysicsHandles.h,36,"The handle API looks stable, but compatibility generation 1 still means index equals GameModel slot.","MakeCompatibilityPhysicsBodyHandle and MakeCompatibilityPhysicsColliderHandle return handles with the model index and PHYSICS_COMPATIBILITY_HANDLE_GENERATION.","Allocator-owned body/collider handles with a separate temporary model-index map for migration only.","Introduce a real handle allocation path for new physics bodies while leaving import-time model mapping quarantined.","Normal runtime commands no longer create handles by wrapping a GameModel index.","tools\validate_physics.bat"
K006,6,split,PhysicsBodyRecord / ColliderRecord / RenderInstanceRecord legacy mirrors,SkullbonezSource/Physics/PhysicsBodyStore.h,52,"The new stores still carry legacyModelIndex/replay id compatibility fields inside the records that are supposed to become authoritative.","Body, collider, and render instance records all mirror GameModelCollection order and keep legacy lookup fields.","Authoritative body/collider/render records plus separate temporary migration maps from model/replay ids to handles.","Start with one record type: move legacyModelIndex out of the authoritative record into a side map and adjust lookups.","Store records no longer need legacyModelIndex for normal simulation/render iteration.","tools\validate_physics.bat for body/collider; tools\validate_dx12_renderer.bat plus tools\validate_perf.bat for render instance hot paths"
K007,7,kill,g_activeAssetSystem / ActiveAssetSystem / CreateShaderFromActiveAssets,SkullbonezSource/Assets/AssetSystem.cpp,41,"The asset cleanup left a process-active asset singleton plus a shader helper that falls back to Gfx.","Run binds g_activeAssetSystem, CreateShaderFromActiveAssets uses it or Gfx, and LauncherLaser is the remaining runtime caller.","Explicit AssetSystem plus IRenderResourceFactory passed to the owner that creates the shader.","Fix LauncherLaser::EnsureResources to receive explicit resource context, then delete CreateShaderFromActiveAssets and active asset binding.","No active asset global, no ActiveAssetSystem helper, and no CreateShaderFromActiveAssets helper remain.","tools\validate_dx12_renderer.bat; tools\validate_full.bat if Run lifecycle wiring changes"
K008,8,kill,AssetSystem::CreateShader(const char*) no-factory overload,SkullbonezSource/Assets/AssetSystem.cpp,359,"The asset API still has an overload that silently reaches the active renderer instead of requiring the caller to name resource ownership.","CreateShader(const char*) delegates to Rendering::Gfx while the explicit CreateShader(IRenderResourceFactory&, ...) overload already exists.","Only the factory-taking overload should exist for runtime shader creation.","Replace any use of the no-factory overload with the explicit overload; if none remain, delete the overload immediately.","AssetSystem cannot create GPU shaders without an explicit IRenderResourceFactory.","tools\validate_dx12_renderer.bat"
K009,9,kill,RenderHelper::BindRenderContexts static services,SkullbonezSource/Rendering/Helper.cpp,89,"Global reads were replaced with file-static service pointers and manual bind/unbind order.","RenderHelper stores IRenderResourceFactory, IRenderCommandContext, AssetSystem, and EngineConfig in statics set by Run::Initialise.","A RenderHelperResources owner or pass-local render helper object with explicit lifetime.","Move static service pointers into an owned object first; keep existing draw helpers as thin methods on that object.","RenderHelper has no file-static service pointers and no global bind/unbind lifecycle.","tools\validate_dx12_renderer.bat"
K010,10,kill,Text2d::BindRenderContexts static services,SkullbonezSource/Rendering/Text.cpp,77,"Text rendering has the same global-service smell as before, just with explicit pointers cached in statics.","Text2d stores render factory, command context, assets, and config in file-static variables bound by Run.","A TextRenderer or UI text pass resource owned by runtime/UI render code.","Move font/shader/batch resources into an owned TextRenderer object and pass draw inputs per frame.","Text2d no longer stores service pointers in statics or requires Run bind/unbind.","tools\validate_dx12_renderer.bat"
K011,11,split,WorldEnvironment::RuntimeConfigSnapshot,SkullbonezSource/World/WorldEnvironment.h,182,"One private snapshot mixes water rendering style, generated mesh sizing, cinematic fallback, and fluid angular drag.","RuntimeConfigSnapshot contains ordinaryRender, cinematicRender, frustumFar, ocean wave fields, perturb strength, and fluidAngularDragMultiplier.","WaterRenderStyleSettings, WaterMeshBuildSettings, and FluidForceSettings.","Split the struct first without behavior change; then route each group to the owner that actually consumes it.","No generic RuntimeConfigSnapshot remains with mixed render/physics fields.","tools\validate_dx12_renderer.bat; tools\validate_physics.bat if force behavior changes"
K012,12,kill,RuntimeRenderHost active renderer bounce,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,87,"A render host exists, but it still calls process-global Gfx/GfxRayTracing internally.","ActiveRenderBackend and ActiveRayTracingBackend call IsGfxReady/Gfx and IsGfxRayTracingReady/GfxRayTracing.","Backend capability pointers supplied through RuntimeRenderInputs/RuntimeRenderHostBindings by the composition root.","Add backend/raytracing pointers to the host binding and remove the Gfx calls from RuntimeRenderHost.","RuntimeRenderHost no longer calls Gfx, GfxRayTracing, IsGfxReady, or IsGfxRayTracingReady.","tools\validate_full.bat; tools\validate_dx12_renderer.bat if render behavior changes"
