id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
RHOST-001,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderHost.h,152,RuntimeRenderBackendView,"Render backend view is a mutable long-lived borrowed object.",RenderFrameServices,"Pass render capabilities per frame or as stable renderer-owned services.",validate_dx12_renderer,safe
RHOST-002,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderHost.h,163,RuntimeRenderHostBindings,"Bindings aggregate runtime diagnostics world tools replay UI and scene.",Typed render services,"Split binding struct into narrow pass services; delete fields as pass rows migrate.",validate_dx12_renderer,safe
RHOST-003,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderHost.h,188,RuntimeRenderHostCallbacks,"Callbacks bounce render host back into Run behavior.",Render overlay services,"Move callback bodies to owned services or frame snapshots.",validate_full,defer
RHOST-004,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderHost.h,211,RuntimeRenderHost ctor,"Constructor dereferences the broad binding graph and stores references.",Narrow render host or none,"Make pass inputs explicit and remove long-lived borrowed references.",validate_dx12_renderer,safe
RHOST-005,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderHost.h,362,RuntimeRenderHost members,"Host stores references to renderer systems debug timers config world physics tools replay UI input camera scene diagnostics.",RenderFrameSnapshot,"Replace member access with snapshot fields and capability interfaces.",validate_dx12_renderer,safe
RHOST-006,medium,done,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,55,ActiveCinematicConfig,"Host computes active cinematic config from scene/config.",RenderFrameConfig,"Put active cinematic config in RenderFrameContext.",validate_dx12_renderer,safe
RHOST-007,medium,done,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,74,TextureHandle,"Host reaches through runtime systems for texture collection.",Texture service,"Pass texture binding service/capability to passes.",validate_dx12_renderer,safe
RHOST-008,medium,done,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,148,BuildReplayOverlayRenderContext,"Host assembles replay overlay context from UI/runtime/model data.",ReplayOverlayRenderer,"Build replay overlay context in replay/render snapshot owner.",validate_dx12_renderer,safe
RHOST-009,medium,done,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,201,RefreshMainMemoryStats,"Host performs diagnostics sampling for UI memory tab.",DiagnosticsRuntime,"Move memory stats sampling out of render host.",validate_fast,safe
RHOST-010,medium,done,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,225,RenderReplayPredictionGhosts,"Host owns replay prediction ghost render bridge.",ReplayOverlayRenderer,"Render replay ghosts from replay frame snapshot and render services.",validate_dx12_renderer,safe
